hubspot_id,hubspot_type,dataaxle_id,match_type,confidence_score
4525648561.0,building,419640610,exact_address_components,100.0
4525908607.0,building,902933746,exact_address_components,100.0
5624385813.0,building,387123805,exact_address_components,100.0
4771063319.0,building,manual_998974402,exact_address_components,100.0
5622492715.0,building,manual_998974403,exact_address_components,100.0
4770951232.0,building,263544975,exact_address_components,100.0
13574285149.0,building,manual_998974361,exact_address_components,100.0
4770955370.0,building,403351381,exact_address_components,100.0
1161090068.0,building,614655769,exact_address_components,100.0
5624416875.0,building,manual_998974382,exact_address_components,100.0
1161039624.0,building,manual_998974384,exact_address_components,100.0
4772019522.0,building,734826766,exact_address_components,100.0
4772032179.0,building,manual_998974421,exact_address_components,100.0
4772019523.0,building,manual_998974422,exact_address_components,100.0
4772019518.0,building,424831607,exact_address_components,100.0
4770955347.0,building,695634501,exact_address_components,100.0
5624371115.0,building,706830535,exact_address_components,100.0
4716380681.0,building,778092011,exact_address_components,100.0
1161036575.0,building,707848209,exact_address_components,100.0
40487489967.0,building,manual_998974450,exact_address_components,100.0
4556494890.0,building,manual_998974293,exact_address_components,100.0
4770951194.0,building,manual_998974298,fuzzy_street_name,93.33333333333333
4770951195.0,building,manual_998974340,exact_address_components,100.0
14658588272.0,building,870319027,exact_address_components,100.0
14530917469.0,building,689591048,exact_address_components,100.0
14661844848.0,building,581642287,exact_address_components,100.0
14531244809.0,building,581642261,exact_address_components,100.0
14661972657.0,building,manual_998974319,exact_address_components,100.0
14661792697.0,building,manual_998974321,exact_address_components,100.0
14660982376.0,building,manual_998974322,exact_address_components,100.0
14642019359.0,building,manual_998974324,exact_address_components,100.0
14661792696.0,building,manual_998974325,exact_address_components,100.0
13674107156.0,building,manual_998974327,exact_address_components,100.0
